Date,AAPL,AMZN,GOOGL,JPM,MSFT
2020-01-02,72.62083435058594,94.90049743652344,68.0260238647461,120.1546859741211,153.0423126220703
2020-01-03,71.91480255126953,93.74849700927734,67.67015838623047,118.56908416748047,151.1366424560547
2020-01-06,72.48784637451172,95.14399719238281,69.47384643554688,118.47479248046875,151.52734375
2020-01-07,72.14694213867188,95.34300231933594,69.33964538574219,116.4606704711914,150.14572143554688
2020-01-08,73.30751037597656,94.59850311279297,69.83318328857422,117.36917877197266,152.53732299804688
2020-01-09,74.8646240234375,95.05249786376953,70.56629180908203,117.7977294921875,154.4429473876953
2020-01-10,75.03386688232422,94.15799713134766,71.02205657958984,116.62353515625,153.72836303710938
2020-01-13,76.63691711425781,94.56500244140625,71.57225799560547,117.5920181274414,155.57679748535156
2020-01-14,75.60206604003906,93.47200012207031,71.10307312011719,118.96337127685547,154.48106384277344
2020-01-15,75.278076171875,93.10099792480469,71.531005859375,117.18062591552734,155.48153686523438
2020-01-16,76.2210693359375,93.89700317382812,72.07574462890625,117.63488006591797,158.3304901123047
2020-01-17,77.06488800048828,93.23600006103516,73.53498840332031,118.44913482666016,159.21656799316406
2020-01-21,76.54261016845703,94.5999984741211,73.67066955566406,117.2834701538086,158.64483642578125
2020-01-22,76.81584930419922,94.37300109863281,73.75118255615234,117.14631652832031,157.8826446533203
2020-01-23,77.18578338623047,94.22899627685547,73.79193878173828,117.02632904052734,158.8544921875
2020-01-24,76.96334838867188,93.08200073242188,72.87146759033203,114.12081909179688,157.25379943847656
2020-01-27,74.7002182006836,91.41699981689453,71.15972900390625,113.16088104248047,154.62399291992188
2020-01-28,76.81343078613281,92.6624984741211,72.09263610839844,115.2178726196289,157.65394592285156
2020-01-29,78.42131805419922,92.9000015258789,72.40078735351562,115.04646301269531,160.1122283935547
2020-01-30,78.30767059326172,93.53399658203125,72.27901458740234,116.46923828125,164.62860107421875
2020-01-31,74.83561706542969,100.43599700927734,71.2119140625,113.44373321533203,162.1988983154297
2020-02-03,74.6301040649414,100.20999908447266,73.68807220458984,114.30937957763672,166.1531219482422
2020-02-04,77.0938949584961,102.4834976196289,71.83964538574219,115.95496368408203,171.622314453125
2020-02-05,77.72254180908203,101.99349975585938,71.8714599609375,117.92627716064453,171.41270446777344
2020-02-06,78.63167572021484,102.5114974975586,73.35853576660156,117.94340515136719,174.96673583984375
2020-02-07,77.5628433227539,103.96399688720703,73.51460266113281,117.5663070678711,175.21450805664062
2020-02-10,77.93124389648438,106.69550323486328,74.9832992553711,118.05485534667969,179.7975616455078
2020-02-11,77.46107482910156,107.54000091552734,75.0528793334961,118.27769470214844,175.7385711669922
2020-02-12,79.30059051513672,108.0,75.47883605957031,118.27769470214844,175.99581909179688
2020-02-13,78.7358627319336,107.49349975585938,75.21839904785156,118.1748275756836,175.04299926757812
2020-02-14,78.7552719116211,106.74349975585938,75.48379516601562,117.81487274169922,176.60557556152344
2020-02-18,77.31321716308594,107.78350067138672,75.51909637451172,116.25496673583984,178.3969268798828
2020-02-19,78.43294525146484,108.51100158691406,75.78897094726562,117.8405532836914,178.93194580078125
2020-02-20,77.6282958984375,107.65499877929688,75.3973159790039,117.8405532836914,176.19944763183594
2020-02-21,75.87118530273438,104.79850006103516,73.7308120727539,116.40067291259766,170.62928771972656
2020-02-24,72.26726531982422,100.4645004272461,70.56977081298828,113.27228546142578,163.27255249023438
2020-02-25,69.81941986083984,98.63700103759766,68.90276336669922,108.21550750732422,160.5782470703125
2020-02-26,70.927001953125,98.97949981689453,69.1090316772461,108.54119873046875,162.58460998535156
2020-02-27,66.29063415527344,94.21499633789062,65.35552978515625,104.02436828613281,151.12905883789062
2020-02-28,66.2518539428711,94.1875,66.56330108642578,99.51609802246094,154.788330078125
2020-03-02,72.41993713378906,97.69750213623047,68.90276336669922,104.15291595458984,165.08786010742188
2020-03-03,70.11993408203125,95.44950103759766,66.48725891113281,100.24462890625,157.1769256591797
2020-03-04,73.3724136352539,98.79149627685547,68.66818237304688,102.72160339355469,162.94769287109375
2020-03-05,70.99246215820312,96.20149993896484,65.34610748291016,97.68194580078125,158.8585205078125
2020-03-06,70.0496597290039,95.05449676513672,64.40076446533203,92.63372039794922,154.36798095703125
2020-03-09,64.50927734375,90.03050231933594,60.42709732055664,80.08598327636719,143.90603637695312
2020-03-10,69.15534973144531,94.59100341796875,63.37839889526367,86.30843353271484,153.74693298339844
2020-03-11,66.7535400390625,91.04299926757812,60.184051513671875,82.245849609375,146.7819061279297
2020-03-12,60.16131591796875,83.83049774169922,55.24617004394531,75.4662857055664,132.86134338378906
2020-03-13,67.36912536621094,89.25,60.35155487060547,89.05967712402344,151.75010681152344
2020-03-16,58.702301025390625,84.4574966430664,53.33016586303711,75.73198699951172,129.38357543945312
2020-03-17,61.2834587097168,90.39199829101562,55.56972885131836,80.36027526855469,140.03662109375
2020-03-18,59.78323745727539,91.5,54.2342414855957,71.90083312988281,134.14161682128906
2020-03-19,59.32517623901367,94.04650115966797,55.252132415771484,73.10932922363281,136.34866333007812
2020-03-20,55.55889129638672,92.30449676513672,53.09209060668945,71.56658172607422,131.22755432128906
2020-03-23,54.37858200073242,95.1415023803711,52.39228439331055,67.73540496826172,129.9186553955078
2020-03-24,59.834144592285156,97.00499725341797,56.163665771484375,75.79200744628906,141.72772216796875
2020-03-25,59.50452423095703,94.29199981689453,54.752628326416016,78.6203842163086,140.37098693847656
2020-03-26,62.635833740234375,97.77449798583984,57.79935836791992,84.0971450805664,149.15138244628906
